brand,offset_s,peak,verdict,video_dur,audio_dur,onset_s,source,status
NOMAD-0700,5.016,0.624,confirmed,290.784,280.733,26.95,measured,active
NOMAD-0701,5.016,0.899,confirmed,224.073,213.987,5.4,measured,active
NOMAD-0702,5.016,0.879,confirmed,314.445,304.36,1.1,measured,active
NOMAD-0703,5.016,0.78,confirmed,287.045,276.99,3.8,measured,active
NOMAD-0704,5.016,0.802,confirmed,202.386,192.333,21.6,measured,active
NOMAD-0705,8.015,0.893,confirmed,199.042,185.961,0.05,measured,active
NOMAD-0706,5.016,0.47,confirmed,216.317,206.227,22.8,measured,active
NOMAD-0707,5.016,0.939,confirmed,267.401,257.36,20.7,measured,active
NOMAD-0708,5.016,0.967,confirmed,300.583,290.478,13.3,measured,active
NOMAD-0709,5.016,0.437,confirmed,205.474,195.4,1.45,measured,active
NOMAD-0710,5.016,0.67,confirmed,179.607,169.52,23.65,measured,active
NOMAD-0711,5.016,0.937,confirmed,239.119,229.013,2.45,measured,active
NOMAD-0712,5.016,0.749,confirmed,303.485,293.4,15.1,measured,active
NOMAD-0713,5.016,0.898,confirmed,307.108,297.032,25.85,measured,active
NOMAD-0714,5.016,0.836,confirmed,332.371,322.333,2.25,measured,active
NOMAD-0715,5.016,0.673,confirmed,335.343,325.293,13.7,measured,active
NOMAD-0716,5.016,0.831,confirmed,177.54,167.442,2.7,measured,active
NOMAD-0717,5.016,0.817,confirmed,180.512,170.438,1.25,measured,active
NOMAD-0718,5.016,0.856,confirmed,178.376,168.276,0.9,measured,active
NOMAD-0719,5.016,0.847,confirmed,177.749,167.654,0.7,measured,active
NOMAD-0720,5.016,0.845,confirmed,192.981,182.923,19.0,measured,active
NOMAD-0721,5.016,0.927,confirmed,180.582,170.516,11.25,measured,active
NOMAD-0722,5.016,0.85,confirmed,137.277,127.181,0.0,measured,active
NOMAD-0723,5.016,0.621,confirmed,174.777,164.733,0.1,measured,active
NOMAD-0724,5.016,0.788,confirmed,191.472,181.414,2.55,measured,active
NOMAD-0725,5.016,0.891,confirmed,176.077,166.007,1.5,measured,active
NOMAD-0726,5.016,0.803,confirmed,143.941,133.86,0.6,measured,active
NOMAD-0727,5.016,0.605,confirmed,184.971,174.927,0.0,measured,active
NOMAD-0728,5.016,0.658,confirmed,172.014,161.913,5.85,measured,active
NOMAD-0729,5.016,0.797,confirmed,218.709,208.64,20.7,measured,active
NOMAD-0730,5.016,0.902,confirmed,241.418,231.301,1.7,measured,active
NOMAD-0731,5.016,0.881,confirmed,281.542,271.462,24.25,measured,active
NOMAD-0732,5.016,0.835,confirmed,185.551,175.44,26.75,measured,active
NOMAD-0733,5.016,0.79,confirmed,240.698,230.609,9.85,measured,active
NOMAD-0734,5.016,0.852,confirmed,223.469,213.42,14.85,measured,active
NOMAD-0735,5.016,0.865,confirmed,274.182,264.114,23.2,measured,active
NOMAD-0736,5.016,0.795,confirmed,210.373,200.28,6.45,measured,active
NOMAD-0737,5.016,0.764,confirmed,218.013,207.914,11.95,measured,active
NOMAD-0738,5.016,0.728,confirmed,261.945,251.867,6.4,measured,active
NOMAD-0739,5.016,0.936,confirmed,264.569,254.499,8.0,measured,active
NOMAD-0740,5.016,0.588,confirmed,181.604,171.504,5.8,measured,active
NOMAD-0741,5.016,0.845,confirmed,167.811,157.742,0.3,measured,active
NOMAD-0742,5.016,0.876,confirmed,135.117,125.053,1.4,measured,active
NOMAD-0743,5.016,0.791,confirmed,243.833,233.8,3.05,measured,active
NOMAD-0744,5.016,0.746,confirmed,295.405,285.333,17.45,measured,active
NOMAD-0745,5.016,0.618,confirmed,285.443,275.307,10.35,measured,active
NOMAD-0746,5.016,0.702,confirmed,204.243,194.12,12.45,measured,active
NOMAD-0747,5.016,0.471,confirmed,216.387,206.315,0.6,measured,active
NOMAD-0748,5.016,0.881,confirmed,189.22,179.107,39.75,measured,active
NOMAD-0749,5.016,0.847,confirmed,234.638,224.6,2.75,measured,active
NOMAD-0750,5.016,0.931,confirmed,268.214,258.16,8.55,measured,active
NOMAD-0751,5.016,0.922,confirmed,356.52,346.453,0.4,measured,active
NOMAD-0752,5.016,0.751,confirmed,219.452,209.36,5.1,measured,active
NOMAD-0753,5.016,0.789,confirmed,227.045,216.875,11.45,measured,active
NOMAD-0754,5.016,0.836,confirmed,303.973,293.933,4.75,measured,active
NOMAD-0755,5.016,0.885,confirmed,324.546,314.373,30.4,measured,active
NOMAD-0756,5.016,0.86,confirmed,229.506,219.4,8.95,measured,active
NOMAD-0757,5.016,0.886,confirmed,266.682,256.6,12.9,measured,active
NOMAD-0758,5.016,0.85,confirmed,208.121,198.009,0.4,measured,active
NOMAD-0759,5.016,0.777,confirmed,207.587,197.52,8.65,measured,active
NOMAD-0760,5.016,0.646,confirmed,247.734,237.63,19.25,measured,active
NOMAD-0761,5.016,0.748,confirmed,209.909,199.841,0.45,measured,active
NOMAD-0762,5.016,0.892,confirmed,238.516,228.467,7.2,measured,active
NOMAD-0763,5.016,0.669,confirmed,174.568,164.493,9.85,measured,active
NOMAD-0764,5.016,0.654,confirmed,251.612,241.44,0.4,measured,active
NOMAD-0765,5.016,0.896,confirmed,297.867,287.827,28.45,measured,active
NOMAD-0766,5.016,0.573,confirmed,315.838,305.75,10.35,measured,active
NOMAD-0767,5.016,0.673,confirmed,205.985,195.925,4.7,measured,active
NOMAD-0768,5.016,0.882,confirmed,258.81,248.694,23.7,measured,active
NOMAD-0769,5.016,0.91,confirmed,356.566,346.507,32.0,measured,active
NOMAD-0770,5.016,0.892,confirmed,276.782,266.72,8.0,measured,active
NOMAD-0771,5.016,0.774,confirmed,213.787,203.638,5.65,measured,active
NOMAD-0772,5.016,0.917,confirmed,172.641,162.531,4.7,measured,active
NOMAD-0773,5.016,0.69,confirmed,191.681,181.531,0.9,measured,active
NOMAD-0774,5.016,0.721,confirmed,226.349,216.28,5.45,measured,active
NOMAD-0775,5.016,0.826,confirmed,190.752,180.68,8.0,measured,active
NOMAD-0776,5.016,0.818,confirmed,202.432,192.36,6.3,measured,active
NOMAD-0777,5.016,0.868,confirmed,209.653,199.6,8.95,measured,active
NOMAD-0778,5.016,0.908,confirmed,185.04,174.96,5.4,measured,active
NOMAD-0779,5.016,0.7,confirmed,224.003,213.84,5.65,measured,active
NOMAD-0780,5.016,0.763,confirmed,206.054,196.0,5.7,measured,active
NOMAD-0781,5.016,0.901,confirmed,141.131,131.0,16.0,measured,active
NOMAD-0782,5.016,0.776,confirmed,224.7,214.64,11.4,measured,active
NOMAD-0783,5.016,0.874,confirmed,229.321,219.213,11.95,measured,active
NOMAD-0784,5.016,0.809,confirmed,206.867,196.728,8.6,measured,active
NOMAD-0785,5.016,0.777,confirmed,207.68,197.627,10.75,measured,active
NOMAD-0786,5.016,0.882,confirmed,274.274,264.107,21.2,measured,active
NOMAD-0787,5.016,0.9,confirmed,240.838,230.8,21.65,measured,active
NOMAD-0788,5.016,0.913,confirmed,217.78,207.693,3.55,measured,active
NOMAD-0789,5.016,0.637,confirmed,169.436,159.4,4.9,measured,active
NOMAD-0790,5.042,0.881,confirmed,288.741,277.611,13.35,measured,active
NOMAD-0791,5.016,0.956,confirmed,268.632,258.6,20.35,measured,active
NOMAD-0792,5.016,0.856,confirmed,278.315,268.267,0.65,measured,active
NOMAD-0793,5.016,0.777,confirmed,224.282,214.24,16.25,measured,active
NOMAD-0794,5.016,0.747,confirmed,532.016,521.92,8.4,measured,active
NOMAD-0795,5.016,0.916,confirmed,261.712,251.667,9.05,measured,active
NOMAD-0796,5.016,0.913,confirmed,225.977,215.938,0.1,measured,active
NOMAD-0797,5.016,0.865,confirmed,290.343,280.293,0.9,measured,active
NOMAD-0798,5.016,0.752,confirmed,175.613,165.57,9.2,measured,active
NOMAD-0799,5.016,0.768,confirmed,193.283,183.24,12.6,measured,active
NOMAD-0800,5.016,0.774,confirmed,212.37,202.333,19.35,measured,active
NOMAD-0801,5.016,0.751,confirmed,182.95,170.8,2.55,measured,active
NOMAD-0802,5.016,0.912,confirmed,147.865,137.189,10.1,measured,active
NOMAD-0803,5.016,0.63,confirmed,261.086,249.693,8.95,measured,active
NOMAD-0804,5.016,0.664,confirmed,282.285,270.2,47.4,measured,active
NOMAD-0805,5.016,0.997,confirmed,239.073,228.16,1.65,measured,active
NOMAD-0806,5.016,0.948,confirmed,194.073,181.448,0.2,measured,active
NOMAD-0807,5.016,0.882,confirmed,225.211,213.28,10.4,measured,active
NOMAD-0808,5.016,0.754,confirmed,182.068,169.707,7.6,measured,active
NOMAD-0809,5.016,0.869,confirmed,213.485,201.693,16.75,measured,active
NOMAD-0810,5.016,0.955,confirmed,253.168,241.96,0.0,measured,active
NOMAD-0811,5.016,0.9,confirmed,183.74,172.042,10.0,measured,active
NOMAD-0812,5.016,0.846,confirmed,236.008,225.96,0.05,measured,active
NOMAD-0813,5.016,0.995,confirmed,306.899,295.867,19.25,measured,active
NOMAD-0814,5.016,0.692,confirmed,228.787,217.867,24.0,measured,active
NOMAD-0815,5.016,0.904,confirmed,293.083,282.471,7.5,measured,active
NOMAD-0816,5.016,0.821,confirmed,231.945,220.238,14.85,measured,active
NOMAD-0817,5.016,0.826,confirmed,255.048,244.827,12.9,measured,active
NOMAD-0818,5.016,0.848,confirmed,175.102,164.827,0.5,measured,active
NOMAD-0819,5.016,0.934,confirmed,219.034,207.16,21.4,measured,active
NOMAD-0820,5.016,0.934,confirmed,217.246,207.16,21.4,measured,active
NOMAD-0821,5.016,0.997,confirmed,596.451,586.4,9.8,measured,active
NOMAD-0822,5.016,0.926,confirmed,265.451,254.68,12.1,measured,active
NOMAD-0823,5.016,0.969,confirmed,202.618,191.311,1.1,measured,active
NOMAD-0824,5.016,0.972,confirmed,204.916,194.867,0.8,measured,active
NOMAD-0825,5.016,0.933,confirmed,168.415,158.019,5.75,measured,active
NOMAD-0826,5.016,0.931,confirmed,169.878,159.836,3.15,measured,active
NOMAD-0827,5.016,0.954,confirmed,189.266,178.167,1.3,measured,active
NOMAD-0828,5.016,0.915,confirmed,239.932,229.669,5.75,measured,active
NOMAD-0829,5.016,0.928,confirmed,262.316,251.067,24.95,measured,active
NOMAD-0830,5.016,0.866,confirmed,235.01,223.939,0.85,measured,active
NOMAD-0831,5.063,0.938,confirmed,274.853,263.275,20.45,measured,active
NOMAD-0832,5.063,0.82,confirmed,197.415,186.387,8.0,measured,active
NOMAD-0833,5.063,0.546,confirmed,307.918,297.693,13.85,measured,active
NOMAD-0834,5.068,0.134,needs-review,302.949,292.807,3.6,measured,active
NOMAD-0835,5.063,0.921,confirmed,179.465,167.317,0.8,measured,active
NOMAD-0836,5.063,0.897,confirmed,300.395,289.733,30.5,measured,active
NOMAD-0837,5.063,0.832,confirmed,253.653,241.893,8.1,measured,active
NOMAD-0838,5.063,0.955,confirmed,211.254,199.587,4.75,measured,active
NOMAD-0839,5.063,0.942,confirmed,284.164,272.893,6.4,measured,active
NOMAD-0840,5.063,0.889,confirmed,222.585,211.467,14.7,measured,active
NOMAD-0841,5.063,0.66,confirmed,180.301,170.133,14.45,measured,active
NOMAD-0842,5.063,0.927,confirmed,283.328,273.032,24.95,measured,active
NOMAD-0843,5.063,0.876,confirmed,259.69,249.302,19.25,measured,active
NOMAD-0844,5.063,0.888,confirmed,204.752,192.7,1.2,measured,active
NOMAD-0845,5.063,0.507,confirmed,244.017,232.56,12.4,measured,active
NOMAD-0846,5.063,0.529,confirmed,135.649,124.891,14.3,measured,active
NOMAD-0847,4.934,0.405,confirmed,204.45,193.254,11.55,measured,active
NOMAD-0848,5.063,0.855,confirmed,142.964,131.947,5.95,measured,active
NOMAD-0849,5.039,0.37,confirmed,224.326,214.047,2.5,measured,active
NOMAD-0850,5.063,0.871,confirmed,185.596,173.573,10.3,measured,active
NOMAD-0851,5.063,0.723,confirmed,148.699,137.013,8.5,measured,active
NOMAD-0852,5.063,0.972,confirmed,174.891,164.362,8.9,measured,active
NOMAD-0853,5.063,0.681,confirmed,297.051,285.733,6.75,measured,active
NOMAD-0854,5.063,0.565,confirmed,343.282,332.88,8.8,measured,active
NOMAD-0855,5.063,0.354,confirmed,274.946,263.654,2.75,measured,active
NOMAD-0856,5.063,0.905,confirmed,249.334,237.76,31.9,measured,active
NOMAD-0857,5.063,0.633,confirmed,164.465,154.304,0.3,measured,active
NOMAD-0858,5.063,0.801,confirmed,237.399,226.023,1.4,measured,active
NOMAD-0859,5.063,0.588,confirmed,271.254,260.467,8.5,measured,active
NOMAD-0860,5.063,0.892,confirmed,219.822,208.627,0.15,measured,active
NOMAD-0861,5.063,0.925,confirmed,300.047,289.32,1.75,measured,active
NOMAD-0862,5.063,0.922,confirmed,228.135,217.973,8.45,measured,active
NOMAD-0863,5.063,0.915,confirmed,219.613,207.773,0.0,measured,active
NOMAD-0864,5.063,0.914,confirmed,230.665,219.733,0.2,measured,active
NOMAD-0865,5.063,0.81,confirmed,173.916,162.08,6.25,measured,active
NOMAD-0866,5.063,0.881,confirmed,303.599,293.453,16.0,measured,active
NOMAD-0867,5.063,0.76,confirmed,182.113,170.163,8.9,measured,active
NOMAD-0868,5.063,0.609,confirmed,149.256,138.472,10.8,measured,active
NOMAD-0869,5.063,0.922,confirmed,268.351,258.2,8.0,measured,active
NOMAD-0870,5.063,0.799,confirmed,241.718,231.36,2.5,measured,active
NOMAD-0871,5.063,0.581,confirmed,253.026,241.72,10.75,measured,active
NOMAD-0872,5.063,0.736,confirmed,214.504,204.347,8.0,measured,active
NOMAD-0873,5.063,0.882,confirmed,238.816,227.173,10.85,measured,active
NOMAD-0874,5.063,0.865,confirmed,278.754,267.248,4.9,measured,active
NOMAD-0875,5.063,0.648,confirmed,226.857,214.987,11.2,measured,active
NOMAD-0876,5.063,0.915,confirmed,186.455,176.307,11.4,measured,active
NOMAD-0877,5.063,0.934,confirmed,153.389,142.867,12.1,measured,active
NOMAD-0878,5.063,0.682,confirmed,309.033,297.867,31.8,measured,active
NOMAD-0879,5.063,0.547,confirmed,164.79,154.24,3.0,measured,active
NOMAD-0880,5.063,0.954,confirmed,236.819,225.44,14.95,measured,active
NOMAD-0881,5.063,0.917,confirmed,269.025,258.027,8.0,measured,active
NOMAD-0882,5.063,0.85,confirmed,233.986,223.147,0.55,measured,active
NOMAD-0883,5.063,0.786,confirmed,280.496,269.444,8.05,measured,active
NOMAD-0884,5.063,0.882,confirmed,230.921,220.089,4.6,measured,active
NOMAD-0885,5.063,0.947,confirmed,210.696,200.387,15.55,measured,active
NOMAD-0886,5.063,0.813,confirmed,280.588,269.773,4.2,measured,active
NOMAD-0887,5.063,0.9,confirmed,182.368,171.493,0.25,measured,active
NOMAD-0888,5.063,0.935,confirmed,181.184,170.127,6.85,measured,active
NOMAD-0889,5.063,0.776,confirmed,216.757,204.689,4.3,measured,active
NOMAD-0890,5.063,0.773,confirmed,268.514,257.38,0.05,measured,active
NOMAD-0891,5.063,0.556,confirmed,183.088,172.92,13.05,measured,active
NOMAD-0892,5.063,0.763,confirmed,251.122,240.0,0.15,measured,active
NOMAD-0893,5.063,0.782,confirmed,155.549,144.2,1.5,measured,active
NOMAD-0894,5.063,0.784,confirmed,165.557,154.16,12.45,measured,active
NOMAD-0895,5.063,0.889,confirmed,252.098,240.0,8.0,measured,active
NOMAD-0896,5.063,0.828,confirmed,203.15,192.0,10.15,measured,active
NOMAD-0897,5.063,0.891,confirmed,179.164,169.013,0.7,measured,active
NOMAD-0898,5.063,0.878,confirmed,159.218,147.96,13.7,measured,active
NOMAD-0899,5.063,0.918,confirmed,233.429,222.093,13.8,measured,active
NOMAD-0900,5.063,0.949,confirmed,273.088,262.613,5.35,measured,active
NOMAD-0901,5.063,0.838,confirmed,212.391,201.228,1.6,measured,active
NOMAD-0902,5.063,0.97,confirmed,256.184,245.0,17.35,measured,active
NOMAD-0903,5.063,0.52,confirmed,208.189,196.8,11.1,measured,active
NOMAD-0904,5.063,0.822,confirmed,273.483,261.387,1.4,measured,active
NOMAD-0905,5.063,0.771,confirmed,240.72,228.733,8.0,measured,active
NOMAD-0906,5.063,0.878,confirmed,238.351,227.053,11.65,measured,active
NOMAD-0907,5.063,0.662,confirmed,206.308,196.153,5.6,measured,active
NOMAD-0908,5.063,0.809,confirmed,196.648,185.293,6.35,measured,active
NOMAD-0909,5.063,0.94,confirmed,254.466,242.608,14.8,measured,active
NOMAD-0910,5.063,0.857,confirmed,193.235,181.212,14.9,measured,active
NOMAD-0911,5.063,0.995,confirmed,452.021,440.107,2.55,measured,active
NOMAD-0912,5.063,0.879,confirmed,385.821,374.566,1.4,measured,active
NOMAD-0913,5.031,0.827,confirmed,177.724,167.131,12.05,measured,active
NOMAD-0914,5.063,0.447,confirmed,258.529,247.013,14.1,measured,active
NOMAD-0915,5.063,0.991,confirmed,232.059,220.147,47.4,measured,active
NOMAD-0916,5.063,0.752,confirmed,235.193,223.547,16.15,measured,active
NOMAD-0917,5.063,0.876,confirmed,410.852,400.04,12.15,measured,active
NOMAD-0918,5.063,0.842,confirmed,414.707,404.547,38.9,measured,active
NOMAD-0919,5.063,0.991,confirmed,574.855,564.267,24.15,measured,active
NOMAD-0920,5.063,0.423,confirmed,288.414,276.947,12.7,measured,active
NOMAD-0921,5.063,0.7,confirmed,270.0,259.147,23.05,measured,active
NOMAD-0922,5.063,0.852,confirmed,260.782,250.047,15.55,measured,active
NOMAD-0923,5.063,0.287,needs-review,130.889,120.667,12.15,measured,active
NOMAD-0924,5.063,0.854,confirmed,328.352,317.107,6.7,measured,active
NOMAD-0925,5.063,0.923,confirmed,192.863,181.44,0.55,measured,active
NOMAD-0926,5.063,0.866,confirmed,251.563,241.023,0.15,measured,active
NOMAD-0927,5.063,0.646,confirmed,240.557,229.83,14.1,measured,active
NOMAD-0928,5.063,0.833,confirmed,242.066,231.64,13.65,measured,active
NOMAD-0929,5.063,0.885,confirmed,131.377,121.213,0.35,measured,active
NOMAD-0930,5.063,0.946,confirmed,214.62,202.72,4.55,measured,active
NOMAD-0931,5.063,0.872,confirmed,206.447,196.173,0.9,measured,active
NOMAD-0932,5.063,0.734,confirmed,238.816,228.427,5.15,measured,active
NOMAD-0933,5.063,0.865,confirmed,167.948,157.675,0.15,measured,active
NOMAD-0934,5.063,0.897,confirmed,138.064,126.13,6.35,measured,active
NOMAD-0935,5.063,0.895,confirmed,134.024,123.094,2.35,measured,active
NOMAD-0936,5.063,0.611,confirmed,136.23,125.0,1.4,measured,active
NOMAD-0937,5.063,0.845,confirmed,213.692,201.68,4.85,measured,active
NOMAD-0938,5.063,0.563,confirmed,369.358,358.307,18.7,measured,active
NOMAD-0939,5.063,0.589,confirmed,194.628,184.24,4.95,measured,active
NOMAD-0940,5.063,0.57,confirmed,276.896,264.973,0.9,measured,active
NOMAD-0941,5.063,0.35,confirmed,139.04,128.88,5.85,measured,active
NOMAD-0942,5.063,0.907,confirmed,256.091,244.693,6.35,measured,active
NOMAD-0943,5.063,0.781,confirmed,170.99,159.844,20.2,measured,active
NOMAD-0944,5.063,0.77,confirmed,300.952,289.72,1.1,measured,active
NOMAD-0945,5.063,0.868,confirmed,248.638,238.49,8.2,measured,active
NOMAD-0946,5.063,0.943,confirmed,221.749,211.24,0.6,measured,active
NOMAD-0947,5.063,0.938,confirmed,292.268,282.107,27.6,measured,active
NOMAD-0948,5.063,0.887,confirmed,290.898,280.747,31.8,measured,active
NOMAD-0949,5.063,0.642,confirmed,269.164,257.307,20.2,measured,active
NOMAD-0950,5.063,0.88,confirmed,189.288,178.613,6.45,measured,active
NOMAD-0951,5.063,0.8,confirmed,190.959,180.802,1.65,measured,active
NOMAD-0952,5.063,0.964,confirmed,167.647,157.079,2.65,measured,active
NOMAD-0953,5.063,0.896,confirmed,221.215,210.0,0.2,measured,active
NOMAD-0954,5.039,0.875,confirmed,221.728,211.573,9.85,measured,active
NOMAD-0955,5.039,0.799,confirmed,169.055,158.6,5.6,measured,active
NOMAD-0956,5.039,0.933,confirmed,140.381,130.227,14.3,measured,active
